VARIABLE,DESCRIPTION,TYPE,UNITS,MINIMUM,MAXIMUM,CODED_VALUES,COMMENT
AGEENR,Age at enrollment,Integer ,years ,0 ,99 ,,
ETHNIC,Ethnicity,"Integer, Encoded Value ",,1 ,2 ,01=Hispanic or Latino or Spanish,
ETHNIC,Ethnicity,"Integer, Encoded Value ",,1 ,2 ,02=Non-Hispanic or Non-Latino or Non-Spanish ,
ETHNIC_C,Ethnicity - coded fields,String ,,,,,
MEXICAN,Mexican,"Integer, Encoded Value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
MEXICAN,Mexican,"Integer, Encoded Value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
MEXICAN_C,Mexican - coded fields,String ,,,,,
PUERTO,Puerto Rican,"Integer, Encoded Value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
PUERTO,Puerto Rican,"Integer, Encoded Value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
PUERTO_C,Puerto Rican - coded fields,String ,,,,,
CUBAN,Cuban,"Integer, Encoded Value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
CUBAN,Cuban,"Integer, Encoded Value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
CUBAN_C,Cuban - coded fields,String ,,,,,
OTHER,Other,"Integer, Encoded Value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
OTHER,Other,"Integer, Encoded Value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
OTHER_C,Other - coded fields,String ,,,,,
OTHSP,Other specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
UNKNWN,"Unknown, subject refused","Integer, Encoded Value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
UNKNWN,"Unknown, subject refused","Integer, Encoded Value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
UNKNWN_C,"Unknown, subject refused - coded fields",String ,,,,,
AMERIND,American Indian Alaska,"Integer, Encoded Value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
AMERIND,American Indian Alaska,"Integer, Encoded Value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
AMERIND_C,American Indian Alaska - coded fields,String ,,,,,
ASIAN,Asian,"Integer, Encoded Value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
ASIAN,Asian,"Integer, Encoded Value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
ASIAN_C,Asian - coded fields,String ,,,,,
PACIFC,Hawaiian Pacific Islander,"Integer, Encoded Value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
PACIFC,Hawaiian Pacific Islander,"Integer, Encoded Value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
PACIFC_C,Hawaiian Pacific Islander - coded fields,String ,,,,,
BLACK,African American,"Integer, Encoded Value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
BLACK,African American,"Integer, Encoded Value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
BLACK_C,African American - coded fields,String ,,,,,
WHITE,White,"Integer, Encoded Value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
WHITE,White,"Integer, Encoded Value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
WHITE_C,White - coded fields,String ,,,,,
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,01=01 Afghanistan,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,02=02 Anguilla,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,03=03 Antigua and Barbuda,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,04=04 Argentina,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,05=05 Aruba,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,06=06 N. Europe,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,07=07 Austria,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,08=08 Bangladesh,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,09=09 Belgium,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,10=10 Belize,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,11=11 S. America,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,12=12 S. America,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,13=13 Canada/US,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,14=14 S. America,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,15=15 Asia,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,16=16 S. America,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,17=17 C. America/Caribbean,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,18=18 Cuba,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,19=19 Czech Republic,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,20=20 Denmark,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,21=21 Dominican Republic,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,22=22 Ecuador,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,23=23 C. America/Caribbean,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,24=24 Finland,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,25=25 W./S. Europe,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,26=26 W./S. Europe,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,27=27 N. Europe,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,28=28 W./S. Europe,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,29=29 Guam,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,30=30 Guatemala,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,31=31 C. America/Caribbean,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,32=32 W./S. Europe,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,33=33 Honduras,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,34=34 Hungary,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,35=35 S.Asia,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,36=36 Indonesia,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,37=37 Middle Eastern,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,38=38 Iraq,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,39=39 Ireland,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,40=40 Israel,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,41=41 Italy,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,42=42 Asia,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,43=43 Asia,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,44=44 Middle Eastern,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,45=45 Malaya,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,46=46 Mexico,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,47=47 New Zealand,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,48=48 C. America/Caribbean,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,49=49 Norway,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,50=50 S.Asia,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,51=51 Panama,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,52=52 Paraguay,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,53=53 S. America,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,54=54 SE Asia,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,55=55 N. Europe,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,56=56 Portugal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,57=57 C. America/Caribbean,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,58=58 E. Europe,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,59=59 S. Africa,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,60=60 W./S. Europe,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,61=61 Sweden,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,62=62 Switzerland,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,63=63 Canada/US,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,64=64 S. America,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,65=65 S. America,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,66=66 Virgin Islands,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,67=67 Other,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,99=99 Unknown/Refused,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,70=70 C.Africa,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY,Subjects birth country,"Integer, Encoded Value ",,1 ,99 ,71=71 SE Asia ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
BRTHCTRY_C,Subjects birth country - coded fields,String ,,,,,
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,01=01 Afghanistan,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,02=02 Anguilla,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,03=03 Antigua and Barbuda,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,04=04 Argentina,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,05=05 Aruba,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,06=06 N. Europe,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,07=07 Austria,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,08=08 Bangladesh,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,09=09 Belgium,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,10=10 Belize,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,11=11 S. America,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,12=12 S. America,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,13=13 Canada/US,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,14=14 S. America,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,15=15 Asia,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,16=16 S. America,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,17=17 C. America/Caribbean,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,18=18 Cuba,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,19=19 Czech Republic,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,20=20 Denmark,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
MOMCTRY,Mothers birth country,"Integer, Encoded Value ",,1 ,99 ,21=21 Dominican Republic,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. Merged to general region, see DEM notes.  "
